"Notes"	"County"	"County Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"St. Clair County, AL"	"01115"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	15	87074	Unreliable
	"St. Clair County, AL"	"01115"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	25	88019	28.4
	"Shelby County, AL"	"01117"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	38	208713	18.2
	"Shelby County, AL"	"01117"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	44	210622	20.9
	"Tuscaloosa County, AL"	"01125"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	24	203976	11.8
	"Tuscaloosa County, AL"	"01125"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	27	206102	13.1
	"Walker County, AL"	"01127"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	64967	Unreliable
	"Anchorage Borough, AK"	"02020"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	52	298695	17.4
	"Anchorage Borough, AK"	"02020"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	41	298192	13.7
	"Fairbanks North Star Borough, AK"	"02090"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	100605	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	13	58059	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	58506	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	13	101095	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	18	104365	Unreliable
	"Cochise County, AZ"	"04003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	28	126427	22.1
	"Cochise County, AZ"	"04003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	23	125770	18.3
	"Coconino County, AZ"	"04005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	15	139097	Unreliable
	"Coconino County, AZ"	"04005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	140908	Unreliable
	"Gila County, AZ"	"04007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	12	53159	Unreliable
	"Gila County, AZ"	"04007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	17	53556	Unreliable
	"Maricopa County, AZ"	"04013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	572	4167947	13.7
	"Maricopa County, AZ"	"04013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	668	4242997	15.7
	"Maricopa County, AZ"	"04013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	80	4167947	1.9
	"Maricopa County, AZ"	"04013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	80	4242997	1.9
	"Maricopa County, AZ"	"04013"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	54	4167947	1.3
	"Maricopa County, AZ"	"04013"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	48	4242997	1.1
	"Mohave County, AZ"	"04015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	45	204737	22.0
	"Mohave County, AZ"	"04015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	41	205249	20.0
	"Mohave County, AZ"	"04015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	13	204737	Unreliable
	"Navajo County, AZ"	"04017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	108277	Unreliable
	"Navajo County, AZ"	"04017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	21	110026	19.1
	"Navajo County, AZ"	"04017"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	10	110026	Unreliable
	"Pima County, AZ"	"04019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	186	1010025	18.4
	"Pima County, AZ"	"04019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	209	1016206	20.6
	"Pima County, AZ"	"04019"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	38	1010025	3.8
	"Pima County, AZ"	"04019"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	21	1016206	2.1
	"Pima County, AZ"	"04019"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	10	1016206	Unreliable
	"Pinal County, AZ"	"04021"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	45	406584	11.1
	"Pinal County, AZ"	"04021"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	48	418540	11.5
	"Yavapai County, AZ"	"04025"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	29	222255	13.0
	"Yavapai County, AZ"	"04025"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	42	225562	18.6
	"Yavapai County, AZ"	"04025"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	12	222255	Unreliable
	"Yavapai County, AZ"	"04025"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	11	225562	Unreliable
	"Yavapai County, AZ"	"04025"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	15	222255	Unreliable
	"Yavapai County, AZ"	"04025"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	15	225562	Unreliable
	"Yuma County, AZ"	"04027"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	24	204275	11.7
	"Yuma County, AZ"	"04027"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	34	205631	16.5
	"Benton County, AR"	"05007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	20	249672	8.0
	"Benton County, AR"	"05007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	28	258291	10.8
	"Benton County, AR"	"05007"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	10	249672	Unreliable
	"Craighead County, AR"	"05031"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	12	104354	Unreliable
	"Garland County, AR"	"05051"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	16	97177	Unreliable
	"Garland County, AR"	"05051"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	18	97477	Unreliable
	"Lonoke County, AR"	"05085"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	14	72228	Unreliable
	"Pulaski County, AR"	"05119"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	36	392664	9.2
	"Pulaski County, AR"	"05119"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	41	393250	10.4
	"Saline County, AR"	"05125"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	118703	Unreliable
	"Sebastian County, AR"	"05131"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	15	127780	Unreliable
	"Sebastian County, AR"	"05131"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	18	127793	Unreliable
	"Washington County, AR"	"05143"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	16	225477	Unreliable
	"White County, AR"	"05145"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	79263	Unreliable
	"Alameda County, CA"	"06001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	176	1638215	10.7
	"Alameda County, CA"	"06001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	134	1647704	8.1
	"Alameda County, CA"	"06001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	22	1638215	1.3
	"Alameda County, CA"	"06001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	29	1647704	1.8
	"Butte County, CA"	"06007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	63	225411	27.9
	"Butte County, CA"	"06007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	70	226864	30.9
	"Contra Costa County, CA"	"06013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	93	1126745	8.3
	"Contra Costa County, CA"	"06013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	106	1135127	9.3
	"Contra Costa County, CA"	"06013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	14	1126745	Unreliable
	"Contra Costa County, CA"	"06013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	15	1135127	Unreliable
	"El Dorado County, CA"	"06017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	36	184452	19.5
	"El Dorado County, CA"	"06017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	38	185625	20.5
	"Fresno County, CA"	"06019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	126	974861	12.9
	"Fresno County, CA"	"06019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	127	979915	13.0
	"Fresno County, CA"	"06019"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	15	974861	Unreliable
	"Fresno County, CA"	"06019"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	15	979915	Unreliable
	"Humboldt County, CA"	"06023"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	35	135727	25.8
	"Humboldt County, CA"	"06023"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	45	136646	32.9
	"Imperial County, CA"	"06025"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	34	180191	18.9
	"Imperial County, CA"	"06025"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	35	180883	19.3
	"Kern County, CA"	"06029"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	196	882176	22.2
	"Kern County, CA"	"06029"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	191	884788	21.6
	"Kern County, CA"	"06029"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	15	882176	Unreliable
	"Kern County, CA"	"06029"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	13	884788	Unreliable
	"Kings County, CA"	"06031"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	12	150965	Unreliable
	"Kings County, CA"	"06031"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	10	149785	Unreliable
	"Lake County, CA"	"06033"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	27	64591	41.8
	"Lake County, CA"	"06033"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	17	64116	Unreliable
	"Los Angeles County, CA"	"06037"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	645	10170292	6.3
	"Los Angeles County, CA"	"06037"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	731	10137915	7.2
	"Los Angeles County, CA"	"06037"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	74	10170292	0.7
	"Los Angeles County, CA"	"06037"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	82	10137915	0.8
	"Los Angeles County, CA"	"06037"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	11	10170292	Unreliable
	"Madera County, CA"	"06039"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	24	154998	15.5
	"Madera County, CA"	"06039"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	154697	Unreliable
	"Marin County, CA"	"06041"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	14	261221	Unreliable
	"Marin County, CA"	"06041"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	30	260651	11.5
	"Mendocino County, CA"	"06045"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	15	87649	Unreliable
	"Mendocino County, CA"	"06045"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	25	87628	28.5
	"Merced County, CA"	"06047"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	29	268455	10.8
	"Merced County, CA"	"06047"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	36	268672	13.4
	"Merced County, CA"	"06047"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	10	268455	Unreliable
	"Monterey County, CA"	"06053"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	38	433898	8.8
	"Monterey County, CA"	"06053"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	43	435232	9.9
	"Napa County, CA"	"06055"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	17	142456	Unreliable
	"Nevada County, CA"	"06057"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	17	98877	Unreliable
	"Nevada County, CA"	"06057"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	99107	Unreliable
	"Orange County, CA"	"06059"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	307	3169776	9.7
	"Orange County, CA"	"06059"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	340	3172532	10.7
	"Orange County, CA"	"06059"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	61	3169776	1.9
	"Orange County, CA"	"06059"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	61	3172532	1.9
	"Orange County, CA"	"06059"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	13	3169776	Unreliable
	"Orange County, CA"	"06059"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	14	3172532	Unreliable
	"Placer County, CA"	"06061"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	33	375391	8.8
	"Placer County, CA"	"06061"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	32	380531	8.4
	"Riverside County, CA"	"06065"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	295	2361026	12.5
	"Riverside County, CA"	"06065"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	298	2387741	12.5
	"Riverside County, CA"	"06065"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	38	2361026	1.6
	"Riverside County, CA"	"06065"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	48	2387741	2.0
	"Sacramento County, CA"	"06067"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	238	1501335	15.9
	"Sacramento County, CA"	"06067"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	171	1514460	11.3
	"Sacramento County, CA"	"06067"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	23	1501335	1.5
	"Sacramento County, CA"	"06067"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	29	1514460	1.9
	"Sacramento County, CA"	"06067"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	22	1501335	1.5
	"Sacramento County, CA"	"06067"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	27	1514460	1.8
	"San Bernardino County, CA"	"06071"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	72	2128133	3.4
	"San Bernardino County, CA"	"06071"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	65	2140096	3.0
	"San Bernardino County, CA"	"06071"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	25	2128133	1.2
	"San Bernardino County, CA"	"06071"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	24	2140096	1.1
	"San Diego County, CA"	"06073"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	340	3299521	10.3
	"San Diego County, CA"	"06073"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	362	3317749	10.9
	"San Diego County, CA"	"06073"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	73	3299521	2.2
	"San Diego County, CA"	"06073"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	71	3317749	2.1
	"San Francisco County, CA"	"06075"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	179	864816	20.7
	"San Francisco County, CA"	"06075"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	175	870887	20.1
	"San Francisco County, CA"	"06075"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	13	864816	Unreliable
	"San Francisco County, CA"	"06075"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	10	870887	Unreliable
	"San Joaquin County, CA"	"06077"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	105	726106	14.5
	"San Joaquin County, CA"	"06077"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	98	733709	13.4
	"San Joaquin County, CA"	"06077"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	11	726106	Unreliable
	"San Luis Obispo County, CA"	"06079"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	43	281401	15.3
	"San Luis Obispo County, CA"	"06079"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	28	282887	9.9
	"San Luis Obispo County, CA"	"06079"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	17	282887	Unreliable
	"San Mateo County, CA"	"06081"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	65	765135	8.5
	"San Mateo County, CA"	"06081"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	45	764797	5.9
	"Santa Barbara County, CA"	"06083"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	59	444769	13.3
	"Santa Barbara County, CA"	"06083"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	59	446170	13.2
	"Santa Barbara County, CA"	"06083"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	11	444769	Unreliable
	"Santa Clara County, CA"	"06085"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	118	1918044	6.2
	"Santa Clara County, CA"	"06085"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	123	1919402	6.4
	"Santa Clara County, CA"	"06085"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	14	1918044	Unreliable
	"Santa Clara County, CA"	"06085"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	13	1919402	Unreliable
	"Santa Clara County, CA"	"06085"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	14	1919402	Unreliable
	"Santa Cruz County, CA"	"06087"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	38	274146	13.9
	"Santa Cruz County, CA"	"06087"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	36	274673	13.1
	"Shasta County, CA"	"06089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	22	179533	12.3
	"Shasta County, CA"	"06089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	35	179631	19.5
	"Siskiyou County, CA"	"06093"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	13	43554	Unreliable
	"Siskiyou County, CA"	"06093"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	43603	Unreliable
	"Solano County, CA"	"06095"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	49	436092	11.2
	"Solano County, CA"	"06095"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	43	440207	9.8
	"Sonoma County, CA"	"06097"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	71	502146	14.1
	"Sonoma County, CA"	"06097"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	56	503070	11.1
	"Stanislaus County, CA"	"06099"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	97	538388	18.0
	"Stanislaus County, CA"	"06099"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	65	541560	12.0
	"Tulare County, CA"	"06107"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	42	459863	9.1
	"Tulare County, CA"	"06107"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	39	460437	8.5
	"Tuolumne County, CA"	"06109"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	19	53709	Unreliable
	"Tuolumne County, CA"	"06109"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	12	53804	Unreliable
